position,sample,hand,measurement,interval,value
debout,1,right,left,r_m,5
debout,1,right,right,r_m,5
debout,2,left,left,r_m,8
debout,2,left,right,r_m,8
debout,2,right,left,r_m,5
debout,2,right,right,r_m,6
debout,3,left,left,r_m,4
debout,3,left,right,r_m,5.5
debout,3,right,left,r_m,4
debout,3,right,right,r_m,4
debout,4,left,left,r_m,6
debout,4,left,right,r_m,6
debout,4,right,left,r_m,7
debout,4,right,right,r_m,6
assis-proche,1,left,left,m_i,-6
assis-proche,1,left,right,m_i,-5.5
assis-proche,1,right,left,m_i,-5.5
assis-proche,1,right,right,m_i,-5
assis-proche,2,left,left,m_i,-7.5
assis-proche,2,left,right,m_i,-7.5
assis-proche,2,right,left,m_i,-5
assis-proche,2,right,right,m_i,-4.5
assis-proche,3,left,left,m_i,-8
assis-proche,3,left,right,m_i,-8
assis-proche,3,right,left,m_i,-6
assis-proche,3,right,right,m_i,-6
assis-proche,4,left,left,m_i,-7
assis-proche,4,left,right,m_i,-7.5
assis-proche,4,right,left,m_i,-1.5
assis-proche,4,right,right,m_i,-1.5
assis-loin,1,left,left,m_i,-7
assis-loin,1,left,right,m_i,-7.5
assis-loin,1,right,left,m_i,-5
assis-loin,1,right,right,m_i,-6
assis-loin,2,left,left,m_i,-11
assis-loin,2,left,right,m_i,-11
assis-loin,2,right,left,m_i,-8
assis-loin,2,right,right,m_i,-9
assis-loin,3,left,left,m_i,-10
assis-loin,3,left,right,m_i,-9
assis-loin,3,right,left,m_i,-9
assis-loin,3,right,right,m_i,-7
assis-loin,4,left,left,m_i,-6
assis-loin,4,left,right,m_i,-6
assis-loin,4,right,left,m_i,-9
assis-loin,4,right,right,m_i,-10
assis-focus,1,left,left,m_i,-8
assis-focus,1,left,right,m_i,-7.5
assis-focus,1,right,left,m_i,-6
assis-focus,1,right,right,m_i,-5.5
assis-focus,2,left,left,m_i,-5
assis-focus,2,left,right,m_i,-5
assis-focus,2,right,left,m_i,-8.5
assis-focus,2,right,right,m_i,-7.5
assis-focus,3,left,left,m_i,-8
assis-focus,3,left,right,m_i,-8
assis-focus,3,right,left,m_i,-8
assis-focus,3,right,right,m_i,-8
assis-focus,4,left,left,m_i,-8
assis-focus,4,left,right,m_i,-8
assis-focus,4,right,left,m_i,-6
assis-focus,4,right,right,m_i,-6
debout,1,left,left,m_i,-13
debout,1,left,right,m_i,-12.5
debout,1,right,left,m_i,-7
debout,1,right,right,m_i,-7
debout,2,left,left,m_i,-7
debout,2,left,right,m_i,-6
debout,2,right,left,m_i,-7
debout,2,right,right,m_i,-8.5
debout,3,left,left,m_i,-8
debout,3,left,right,m_i,-9.5
debout,3,right,left,m_i,-6
debout,3,right,right,m_i,-6
debout,4,left,left,m_i,-8
debout,4,left,right,m_i,-7
debout,4,right,left,m_i,-5
debout,4,right,right,m_i,-5
assis-proche,1,left,left,i_inn,-2
assis-proche,1,left,right,i_inn,-2
assis-proche,1,right,left,i_inn,1
assis-proche,1,right,right,i_inn,1
assis-proche,2,left,left,i_inn,-1.5
assis-proche,2,left,right,i_inn,-1
assis-proche,2,right,left,i_inn,-3
assis-proche,2,right,right,i_inn,-3
assis-proche,3,left,left,i_inn,-1
assis-proche,3,left,right,i_inn,-1
assis-proche,3,right,left,i_inn,0
assis-proche,3,right,right,i_inn,0
assis-proche,4,left,left,i_inn,0
